Full Name,Field,Sex,Birth Year,Place of Birth,Edition of First Appearance,QID,date of birth,VIAF,BND,Date of Death 1,Last Name,First Name,Middle Name,ImagePulledInFromWikidata,OccupationsSeparatedByCommas,TopRankOccupation
Henry Aldrich,Arts,Male,1647,"Westminster, London, England, United Kingdom",5,Q2057615,1647,41850324,314,1710-12-14,Aldrich,Henry,,https://commons.wikimedia.org/wiki/File:HenryyAldrich.jpeg,"architect, philosopher, theologian, composer, poet",architect
James Aldrich,Literature,Male,1810,"Mattituck, New York, United States",1,Q6128493,1810-07-14,63457216,,1856-09-09,Aldrich,James,,,"merchant, editor, poet, writer",merchant
Thomas Bailey Aldrich,Literature,Male,1836,"Portsmouth, New Hampshire, United States",10,Q922191,1836-11-11,67259007,,1907-03-19,Aldrich,Thomas,B,https://commons.wikimedia.org/wiki/File:Thomas_Bailey_Aldrich.jpg,"writer, poet, novelist, journalist, children's writer, editor",writer
Cecil Frances Alexander,Literature,Female,1818,"Dublin, Ireland",10,Q3364640,1818-04-01,35879345,328,1895-10-12,Alexander,Cecil,F,https://commons.wikimedia.org/wiki/File:Cecil_F_Alexander.PNG,"poet, hymnwriter, writer",poet
Alī ibn Abī Ṭālib,Religion,Male,601,"Mecca, Makkah, Saudi Arabia",9,Q39619,602,3.06E+08,,0661-01-29,Ali,Ben,Taleb,https://commons.wikimedia.org/wiki/File:Istanbul_-_Santa_Sofia_-_Medalló_(cropped).JPG,"statesperson, qadi, Islamic jurist, muhaddith, mufassir, judge, poet, Caliph",statesperson
Elizabeth Akers Allen,Literature,Female,1832,"Strong, Franklin County, Maine, United States",8,Q5362571,1832-10-09,16300292,,1911-08-07,Allen,Elizabeth,A,https://commons.wikimedia.org/wiki/File:Elizabeth_Akers_Allen_with_signature.jpg,"writer, journalist, poet, author",writer
William Allingham,Literature,Male,1824,"Ballyshannon, County Donegal, Ireland",10,Q261007,1824-03-19,56777098,405,1889-11-18,Allingham,William,,https://commons.wikimedia.org/wiki/File:William_Allingham_Photo.jpg,"poet, writer",poet
Richard Allison,Arts,Male,1560,United Kingdom,5,Q7323698,1560,66650956,,1600,Allison,Richard,,,composer,composer
Alonso de Aragón,Religion,Male,1470,"Cervera, Segarra, Lleida, Catalonia, Spain",4,Q2712060,1470,3539630,,1520-02-24,Alonzo of Arragon,,,https://commons.wikimedia.org/wiki/File:Pabellón_San-Martín_medallón_19_Alonso_de_Aragón.JPG,"military personnel, Catholic deacon, Catholic priest, ruler, politician, Catholic bishop",military personnel
Alfonso X of Castile and Leon,"Military, Politics, and Law",Male,1221,"Toledo, Spain",9,Q47595,1221-11-23,66476694,,1284-04-04,Alphonso the Wise,,,https://commons.wikimedia.org/wiki/File:Alfonso_X_el_Sabio_en_El_libro_de_los_juegos.jpg,"writer, astronomer, ruler, composer, poet, historian, jurist",writer
Princess Amelia of the United Kingdom,"Military, Politics, and Law",Female,1783,"Windsor Castle, Berkshire, England, United Kingdom",8,Q257604,1783-08-07,2.32E+08,437,1810-11-02,Amelia,Princess,,https://commons.wikimedia.org/wiki/File:Princess_Amelia_(1783-1810).jpg,aristocrat,aristocrat
Fisher Ames,"Military, Politics, and Law",Male,1758,"Dedham, Massachusetts, United States",5,Q1194576,1758-04-09,1142398,,1808-07-04,Ames,Fisher,,https://commons.wikimedia.org/wiki/File:Fisher_Ames.jpg,"politician, lawyer, writer",politician
Henri-Frédéric Amiel,Literature,Male,1821,"Geneva, Switzerland",10,Q123916,1821-09-27,39372874,,1881-05-11,Amiel,Henri,F,https://commons.wikimedia.org/wiki/File:Henry-Frederic_Amiel_by_François_Artus.png,"poet, philosopher, diarist, writer, university teacher, literary critic, translator",poet
Michelangelo,Arts,Male,1475,"Caprese Michelangelo, Italy",7,Q5592,1475-03-06,24585191,,1564-02-18,Angelo,Michael,,https://commons.wikimedia.org/wiki/File:Michelangelo_Daniele_da_Volterra_(dettaglio).jpg,"sculptor, architectural draftsperson, painter, architect, poet, engineer, general contractor, writer, visual artist",sculptor
Appius Claudius Caecus,"Military, Politics, and Law",Male,-312,Roman Empire,3,Q297783,-312,51580452,,-273,Appius Claudius Caecus,,,https://commons.wikimedia.org/wiki/File:Appio_Claudio_Cieco_in_Senato.jpg,"writer, poet, Ancient Roman politician, Ancient Roman military personnel",writer
Ludovico Ariosto,Literature,Male,1474,"Reggio nell’Emilia, Italy",7,Q48900,1474-09-08,71386455,,1533-07-06,Ariosto,,,https://commons.wikimedia.org/wiki/File:Ariosto.jpg,"poet, playwright",poet
Aristides,"Military, Politics, and Law",Male,-550,"Alopeke, Ancient Athenian deme",8,Q294942,-550,61392255,,-467,Aristides,,,"https://commons.wikimedia.org/wiki/File:Augustins_-_Aristide,_1806_-_Charles_Brocas.jpg","politician, military personnel",politician
Aristophanes,Literature,Male,-448,"Athens, Greece",8,Q43353,-448,20962036,,-386,Aristophanes,,,https://commons.wikimedia.org/wiki/File:Bust_of_Aristophanes.jpg,"comedy writer, playwright, poet",comedy writer
Aristotle,History and Philosophy,Male,-384,"Stagira, Greece",7,Q868,-384,7524651,,-321,Aristotle,,,https://commons.wikimedia.org/wiki/File:Aristotle_Altemps_Inv8575.jpg,philosopher,philosopher
David Law Proudfit,Literature,Male,1842,"New York City, New York, United States",10,Q5236367,1842-10-27,2.51E+08,,1897-02-23,Arkwright,Peleg,,,"poet, writer",poet
John Armstrong,Literature,Male,1709,"Roxburghshire, Scotland",8,Q713821,1709,59212872,660,1779-09-07,Armstrong,John,,https://commons.wikimedia.org/wiki/File:DrJohnArmstrongBySirJoshuaReynolds.jpg,"poet, physician",poet
Edwin Arnold,Literature,Male,1832,"Gravesend, Kent, England",10,Q115371,1832-06-10,49263967,30455,1904-03-24,Arnold,Sir Edwin,,https://commons.wikimedia.org/wiki/File:EdwinArnold.jpeg,"journalist, poet, writer, orientalist, editor, translator",journalist
Samuel James Arnold,Arts,Male,1774,Great Britain,7,Q15433525,1774,29921604,683,1852,Arnold,S,J,,painter,painter
Matthew Arnold,Literature,Male,1822,"Laleham, Spelthorne, United Kingdom",9,Q271032,1822-12-24,73868557,679,1888-04-15,Arnold,Matthew,,https://commons.wikimedia.org/wiki/File:Matthew_Arnold_-_Project_Gutenberg_eText_16745.jpg,"poet, writer, literary critic, university teacher, journalist, school inspector, essayist",poet
George Arnold (poet),Literature,Male,1834,"New York City, New York, United States",10,Q5536427,1834-06-24,23493422,,1865-11-09,Arnold,George,,https://commons.wikimedia.org/wiki/File:George_Arnold.jpg,"writer, poet",writer
Athenaeus,Literature,Male,170,"Naucratis, Egypt",9,Q294923,170,1.00E+08,,223,Athenaeus,,,,"writer, orator, poet",writer
Augustine of Hippo,Religion,Male,354,"Thagaste, ancient city",3,Q8018,0354-11-13,66806872,,0430-08-28,Augustine,Saint,,https://commons.wikimedia.org/wiki/File:Augustine_Lateran.jpg,"philosopher, theologian, autobiographer, music theorist, preacher, historian, poet, presbyter, writer, Catholic priest, titular bishop, Catholic bishop",philosopher
Sarah Austin,Literature,Female,1793,"Norwich, Norfolk, England, United Kingdom",1,Q519645,1793,59830344,916,1867-08-08,Austin,Mrs,Sarah,https://commons.wikimedia.org/wiki/File:Sarah-austin.jpg,"linguist, translator, writer",linguist
Alfred Austin,Literature,Male,1835,"Leeds, West Yorkshire, England, United Kingdom",10,Q575043,1835-05-30,3373868,30503,1913-06-02,Austin,Alfred,,https://commons.wikimedia.org/wiki/File:Alfredaustin.jpg,"poet, novelist, writer, journalist, barrister",poet
"Barry Yelverton, 1st Viscount Avonmore","Military, Politics, and Law",Male,1736,"Newmarket, County Cork, Ireland",7,Q4864917,1736-05-28,24477856,30212,1805-08-19,Avonmore,Lord,,"https://commons.wikimedia.org/wiki/File:Barry_Yelverton,_1st_Viscount_Avonmore.jpg","judge, politician, barrister",judge
Francis Bacon,"Military, Politics, and Law",Male,1561,"York House, Strand, London, England, United Kingdom",1,Q37388,1561-01-22,31992319,990,1626-04-09,Bacon,Francis,,https://commons.wikimedia.org/wiki/File:Somer_Francis_Bacon.jpg,"philosopher, writer, judge, politician, lawyer, astrologer, scientist, historian",philosopher
Philip James Bailey,Literature,Male,1816,"Nottingham, Nottinghamshire, England",1,Q324158,1816-04-22,67823110,30529,1902-11-06,Bailey,Philip,James,https://commons.wikimedia.org/wiki/File:Portrait_of_Philip_James_Bailey.jpg,"poet, writer, barrister",poet
Joanna Baillie,Literature,Female,1762,"Bothwell, Scotland",8,Q463302,1762-09-11,56750310,1062,1851-02-23,Baillie,Joanna,,https://commons.wikimedia.org/wiki/File:Joanna_Baillie_by_Mary_Ann_Knight.jpg,"poet, writer, playwright, tragedy writer",poet
Arthur Balfour,"Military, Politics, and Law",Male,1848,"Whittingehame, Lothian, Scotland",10,Q19008,1848-07-25,29574721,30553,1930-03-19,Balfour,Arthur,J,https://commons.wikimedia.org/wiki/File:Arthur-James-Balfour-1st-Earl-of-Balfour.jpg,"politician, writer, philosopher",politician
George Bancroft,"Military, Politics, and Law",Male,1800,"Worcester, Worcestershire, England, United Kingdom",8,Q741482,1800-10-03,39386684,,1891-01-17,Bancroft,Georqe,,"https://commons.wikimedia.org/wiki/File:George_Bancroft_by_Plumbe,_1846.jpg","diplomat, historian of Modern Age, historian, academic, writer, politician",diplomat
John Kendrick Bangs,Literature,Male,1862,"Yonkers, Westchester County, New York, United States",10,Q1357524,1862-05-27,54461316,,1922-01-21,Bangs,John,K,https://commons.wikimedia.org/wiki/File:John_Kendrick_Bangs_1922.jpg,"novelist, writer, journalist",novelist
Anna Laetitia Barbauld,Literature,Female,1743,"Leicestershire, England, United Kingdom",1,Q268305,1743-06-20,9896232,1324,1825-03-09,Barbauld,Mrs,,https://commons.wikimedia.org/wiki/File:ChapmanBarbauld.jpg,"poet, children's writer, literary critic, essayist, writer",poet
Bertrand Barère,"Military, Politics, and Law",Male,1755,"Tarbes, Hautes-Pyrénées, France",8,Q708891,1755-09-10,2581204,,1841-01-13,Barère,Bertrand,,https://commons.wikimedia.org/wiki/File:Barere.jpg,"politician, diplomat, judge, journalist, lawyer, writer",politician
Richard Harris Barham,Literature,Male,1788,"Canterbury, Kent, England",9,Q1476581,1788-12-06,74579338,1376,1845-06-17,Barham,R,H,https://commons.wikimedia.org/wiki/File:Thomas_Ingoldsby.png,"writer, priest",writer
Theodore Barker,Arts,Male,1923,"St Helens, Lancashire, England, United Kingdom",8,Q20667136,1923,,,,Barker,Theodore,L,,composer,composer
George Barlow,Literature,Male,1847,"London, England, United Kingdom",10,Q5536719,1847,48004270,,1914,Barlow,George,,,poet,poet
Richard Barnfield,Literature,Male,1574,"Norbury, Staffordshire, United Kingdom",1,Q684646,1574,66535681,1487,1627,Barnfield,Richard,,,"poet, writer",poet
Matthias Barr,Literature,Male,1831,"Edinburgh, Scotland, United Kingdom",10,Q6791516,1831-12-06,49095198,,1911-12-21,Barr,Matthias,,,poet,poet
Eaton Stannard Barrett,Literature,Male,1786,"Cork, Ireland",1,Q5331374,1786,13033207,1522,1820-03-20,Barrett,Eaton,Stannard,,"writer, poet, barrister",writer
George Barrington,Other,Male,1755,"Maynooth, university Ireland",3,Q5536756,1755-05-14,90005829,1530,1804-12-27,Barrington,George,,https://commons.wikimedia.org/wiki/File:Frontispiece_from_the_memoirs_of_George_Barrington.jpg,"pickpocketing, writer",pickpocketing
Isaac Barrow,Other Sciences,Male,1631,"London, England, United Kingdom",8,Q207718,1630-10-01,56682703,1541,1677-05-04,Barrow,Isaac,,https://commons.wikimedia.org/wiki/File:Isaac_Barrow_by_Mary_Beale.jpg,"theologian, mathematician, historian of mathematics, physicist, university teacher, philosopher",theologian
Michael Joseph Barry,"Military, Politics, and Law",Male,1817,"Cork, Munster, Ireland",5,Q15452285,1817,13876746,54541,1889-01-23,Barry,Michael,J,,"magistrate, poet",magistrate
Henry Howarth Bashford,Other Sciences,Male,1880,"Kensington, London, England",10,Q3132614,1880,10078845,,1961,Bashford,Henry,H,,"physician writer, poet",physician writer
William Basse,Literature,Male,1583,"Stratford-upon-Avon, Warwickshire, England, United Kingdom",1,Q8005165,1583,69275691,1633,1653,Basse,William,,,poet,poet
Richard Baxter,Religion,Male,1615,"Rowton, Shropshire, England",1,Q680070,1615-11-12,54178741,1734,1691-12-08,Baxter,Richard,,https://commons.wikimedia.org/wiki/File:Richard_Baxter_Colour.jpg,"theologian, philosopher, writer",theologian
"Pierre Terrail, seigneur de Bayard","Military, Politics, and Law",Male,1476,"Grenoble, Isère, France",8,Q552017,1476,79398800,,1524-04-30,Bayard,Chevalier,,https://commons.wikimedia.org/wiki/File:Pierre_Terrail_de_Bayard.jpg,"condottiero, knight",condottiero
Peter Bayley,Literature,Male,1778,"Portreath, Cornwall, England, United Kingdom",8,Q7172724,1778,3828982,1754,1823-01-25,Bayle,Peter,,"https://commons.wikimedia.org/wiki/File:Peter_Bayley_(1778-1823),_by_unknown_artist.jpg",poet,poet
Thomas Haynes Bayly,Literature,Male,1797,"England, United Kingdom",5,Q7790528,1797-10-13,27808896,1768,1839-04-22,Bayly,T,Haynes,https://commons.wikimedia.org/wiki/File:Portrait_of_Thomas_Haynes_Bayly.jpg,"writer, songwriter, poet, playwright",writer
James Beattie,Literature,Male,1735,"Laurencekirk, Aberdeenshire, Scotland",1,Q915031,1735-10-25,14766002,1831,1803-08-18,Beattie,James,,https://commons.wikimedia.org/wiki/File:Dr_James_Beattie.jpg,"linguist, poet, translator, philosopher, writer, literary critic, essayist",linguist
Francis Beaumont,Literature,Male,1584,"Leicestershire, England, United Kingdom",1,Q313932,1584,49333217,1871,1616-03-06,Beaumont,Francis,,https://commons.wikimedia.org/wiki/File:Francis_Beaumont.jpg,"actor, playwright, poet, writer",actor
John Beaumont,"Military, Politics, and Law",Male,1584,"Thringstone, United Kingdom",10,Q6221279,1584,72779756,1874,1627-04-19,Beaumont,John,,,politician,politician
Barnard Elliott Bee,"Military, Politics, and Law",Male,1824,"Charleston, South Carolina, United States",9,Q325942,1824-02-08,,,1861-07-22,Bee,Bernard,E,https://commons.wikimedia.org/wiki/File:Barnard_Elliott_Bee.JPG,military personnel,military personnel
Ethel Lynn Beers,Literature,Female,1827,"Goshen, New York, United States",10,Q5403151,1827-01-13,63867364,,1879-10-11,Beers,Ethel,L,,"poet, writer",poet
Robert Bell,"Military, Politics, and Law",Male,1760,"Baltimore, Maryland, United States",10,Q19043517,1760,35900398,67533,1816,Bell,Robert,,,"lawyer, jurist",lawyer
G W Bellamy,"Military, Politics, and Law",Male,1897,"South Calorina, United States",8,,1897,,,,Bellamy,G,W,,,
Baron Eligius Franz Joseph von Münch-Bellinghausen,Literature,Male,1806,"Kraków, Lesser Poland Voivodeship, Poland",9,Q78939,1806-04-02,66610632,,1871-05-22,Bellinghausen,Von,Münch,https://commons.wikimedia.org/wiki/File:Die_Gartenlaube_(1856)_b_249.jpg,"poet, playwright, writer, librarian",poet
"Park Benjamin, Sr.",Literature,Male,1809,"Demerara, British Guiana",10,Q7137646,1809-08-14,48313754,,1864-09-12,Benjamin,Park,,"https://commons.wikimedia.org/wiki/File:Park_Benjamin,_Sr_crop.jpg","journalist, lawyer, editor, poet, writer",journalist
Isaac de Benserade,Literature,Male,1613,"Paris, France",7,Q982037,1613-11-05,2466353,,1691-10-10,Benserade,Isaac de,,https://commons.wikimedia.org/wiki/File:Isaac_de_Benserade_-_Versailles_MV_2927.jpg,"poet, playwright, librettist, choreographer, writer",poet
Jeremy Bentham,"Military, Politics, and Law",Male,1748,"Houndsditch, London, England, United Kingdom",6,Q60887,1748-02-15,59078842,2153,1832-06-06,Bentham,Jeremy,,https://commons.wikimedia.org/wiki/File:Jeremy_Bentham_by_Henry_William_Pickersgill_detail.jpg,"philosopher, merchant, lawyer, political scientist, suffragist, human rights activist, jurist, animal rights advocate, writer, economist, Protestant reformer, political theorist",philosopher
Richard Bentley,Literature,Male,1662,"Wakefield, West Yorkshire, England",5,Q712899,1662-01-27,27862472,2169,1742-07-14,Bentley,Richard,,https://commons.wikimedia.org/wiki/File:Richard_Bentley_3.jpg,"librarian, classical philologist, classical scholar, literary critic, theologian, deacon, university teacher, writer",librarian
Thomas Hart Benton,"Military, Politics, and Law",Male,1782,"Hillsborough, North Carolina, United States",9,Q1317969,1782-03-14,64749980,,1858-04-10,Benton,Thomas,H,https://commons.wikimedia.org/wiki/File:Thomas_Hart_Benton_(senator)_2.jpg,"politician, lawyer, writer",politician
George Berkeley,History and Philosophy,Male,1685,"Kilkenny, County Kilkenny, Ireland",1,Q82049,1685-03-12,1.00E+08,2211,1753-01-14,Berkeley,Bishop,,https://commons.wikimedia.org/wiki/File:George_Berkeley_by_Jonh_Smibert.jpg,"philosopher, Anglican priest, writer, epistemologist, philosopher of science, metaphysician, Christian minister",philosopher
Juliana Berners,Literature,Female,1388,"St Albans, England, United Kingdom",7,Q123085,1388,79041718,2255,1500,Berners,Juliana,,https://commons.wikimedia.org/wiki/File:JulianaBerners.JPG,writer,writer
DNE,,,,,7,,,,,,Berry,Dorothy,,,,
Albert Bettelheim,Religion,Male,1830,"Galgoc, Hungary",8,Q55848447,1830,80454121,,1890,Bettelheim,A,S,,rabbi,rabbi
Jonathan Swift,Literature,Male,1667,"Dublin, Ireland",5,Q41166,1667-11-30,14777110,26833,1745-10-19,Bickerstaff,Isaac,,https://commons.wikimedia.org/wiki/File:Jonathan_Swift_by_Charles_Jervas_detail.jpg,"poet, novelist, satirist, philosopher, human rights activist, pamphleteer, Anglican priest, writer, science fiction writer, essayist, opinion journalist, children's writer, prose writer, public figure, priest",poet
William Blacker,Literature,Male,1777,"County Armagh, Ireland",5,Q8005589,1777-09-01,44710259,,1855-11-25,Blacker,Colonel,,,poet,poet
William Blackstone,"Military, Politics, and Law",Male,1723,"City of London, London, England, United Kingdom",3,Q332449,1723-07-10,39385957,2536,1780-02-14,Blackstone,Sir William,,https://commons.wikimedia.org/wiki/File:William_Blackstone_by_Thomas_Hamilton_Crawford_after_Joshua_Reynolds.jpg,"judge, barrister, university teacher, politician, writer",judge
Robert Blair,Literature,Male,1699,"Edinburgh, Scotland, United Kingdom",1,Q1935232,1699-04-17,35250279,2570,1746-02-04,Blair,Robert,,,"poet, writer",poet
Susanna Blamire,Literature,Female,1747,"Cardew Hall , Cardew, Cumberland, England, United Kingdom",9,Q7648643,1747,45379344,2600,1794,Blamire,Susanna,,https://commons.wikimedia.org/wiki/File:Susanna_Blamire_Cambruzzi.jpg,"poet, writer",poet
Samuel Laman Blanchard,Literature,Male,1804,"Great Yarmouth, Norfolk, England, United Kingdom",10,Q7411964,1804-05-15,77000631,2603,1845-02-15,Blanchard,Laman,,,journalist,journalist
Robert Bland,Other Sciences,Male,1730,"London, England, United Kingdom",8,Q16204350,1730,74243073,2614,1816,Bland,Robert,,,"physician, midwife",physician
Jacob Bobart the Younger,Other Sciences,Male,1641,"Oxford, Oxfordshire, England",3,Q6118394,1641-08-02,5362067,2742,1719-12-28,Bobart,Jacob,,,botanist,botanist
Jean Bodinus,History and Philosophy,Male,1530,"Angers, Maine-et-Loire, France",7,,1530,,,,Bodinus,Jean,,,,
Thomas Bodley,Literature,Male,1545,"Exeter, Devon, England",7,Q765673,1545-03-02,34512366,2759,1613-01-28,Bodley,Sir Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Bodley.jpg,"librarian, diplomat, autobiographer, writer, politician",librarian
Boethius,"Military, Politics, and Law",Male,480,"Rome, Italy",7,Q102851,480,1.00E+08,,525,Boethius,,,https://commons.wikimedia.org/wiki/File:Boethius_initial_consolation_philosophy.jpg,"philosopher, writer, musicologist, music theorist, politician, mathematician, translator",philosopher
Nicolas Boileau-Despréaux,Literature,Male,1636,"Paris, France",7,Q188857,1636-11-01,2.99E+08,,1711-03-13,Boileau,,,https://commons.wikimedia.org/wiki/File:Nicolas_Boileau.PNG,"poet, writer, literary critic, lawyer, historian",poet
George Henry Boker,Literature,Male,1823,"Philadelphia, Pennsylvania, United States",10,Q13407942,1823-10-06,47555742,,1890-01-02,Boker,George,H,https://commons.wikimedia.org/wiki/File:GHBoker.jpg,"diplomat, poet, playwright, writer",diplomat
"Henry St John, 1st Viscount Bolingbroke","Military, Politics, and Law",Male,1678,"Battersea, Wandsworth, London, England",1,Q332470,1678-09-16,61539796,24496,1751-12-12,Bolingbroke,Lord,,"https://commons.wikimedia.org/wiki/File:Henry_St_John,_1st_Viscount_Bolingbroke_(1678-1751).jpg","politician, philosopher, historian, writer",politician
John Henry Boner,Literature,Male,1845,"Old Salem, North Carolina, United States",10,Q6238742,1845-01-31,18676462,,1903-03-06,Boner,John,H,,"poet, writer",poet
Barton Booth,Arts,Male,1681,"England, United Kingdom",1,Q4865594,1681,37816277,2872,1733-05-10,Booth,Barton,,,actor,actor
Nicholas Bourbon,Literature,Male,1503,"Vendeuvre-sur-Barse, France",7,Q3340138,1503,61581703,70782,1550,Borbonius,,,"https://commons.wikimedia.org/wiki/File:Nicolas_Bourbon,_by_Hans_Holbein.jpg",poet,poet
Francis William Bourdillon,Literature,Male,1852,"Runcorn, United Kingdom",9,Q5482785,1852-03-22,5027683,,1921-01-13,Bourdillon,Francis,W,,"poet, writer, translator, bibliophile, scientist",poet
Henry de Bracton,"Military, Politics, and Law",Male,1210,"Devon, England, United Kingdom",9,Q1197107,1210,47555925,3163,1268,Bracton,,,"https://commons.wikimedia.org/wiki/File:Bracton,_Henry_de_–_De_legibus_Angliae,_13th-century_–_BEIC_11560027.jpg","priest, lawyer",priest
Nicholas Brady,Literature,Male,1659,"Bandon, County Cork, Ireland",4,Q5584398,1659-10-28,71661670,3219,1726-05-20,Brady,Nicholas,,"https://commons.wikimedia.org/wiki/File:Nicholas_Brady,_by_Hugh_Howard_B&W.jpg",poet,poet
John Gardiner Calkins Brainard,Literature,Male,1795,"New London, Connecticut, United States",8,Q15453001,1795,44150782,,1828,Brainard,John,G,https://commons.wikimedia.org/wiki/File:John_Gardiner_Calkins_Brainard.jpg,"poet, writer",poet
Mary Gardiner Brainard,Literature,Female,1837,"New London, Connecticut, United States",10,Q6779613,1837-06-19,11766157,,1905-11-30,Brainard,Mary,G,,"poet, writer",poet
James Bramston,Literature,Male,1694,"Essex, England, United Kingdom",4,Q6130164,1694,22151648,3241,1744,Bramston,Rev,Mr,,"poet, writer, Anglican priest",poet
Jane Brereton,Literature,Female,1685,"Mold, Wales",3,Q6151191,1685,71246327,62642,1740-08-07,Brereton,Jane,,,"poet, writer",poet
Robert Bridges,Literature,Male,1844,"Kent, England, United Kingdom",10,Q925991,1844-10-23,73868561,32066,1930-04-21,Bridges,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Bridges.jpg,"poet, writer",poet
Samuel Egerton Brydges,"Military, Politics, and Law",Male,1762,"Wootton, Kent, United Kingdom",10,Q168890,1762-11-30,27405359,3809,1837-09-08,Bridges,Samuel,E,https://commons.wikimedia.org/wiki/File:Samuel_Egerton_Brydges.jpg,"politician, genealogist, writer, poet, bibliographer",politician
John Bright,"Military, Politics, and Law",Male,1811,"Rochdale, Greater Manchester, England",10,Q176524,1811-11-16,69003330,3421,1889-03-27,Bright,John,,https://commons.wikimedia.org/wiki/File:John_Bright.jpg,"politician, writer",politician
Isaac H. Bromley,Literature,Male,1833,"Norwich, Connecticut, United States",9,Q6076408,1833-03-06,60664369,,1899,Bromley,Isaac,H,https://commons.wikimedia.org/wiki/File:Isaac_H._Bromley.jpg,"newspaper editor, editor, journalist",newspaper editor
Emily Brontë,Literature,Female,1818,"Thornton, Yorkshire, England, United Kindgom",10,Q80137,1818-07-30,97097302,3524,1848-12-19,Brontë,Emily,,https://commons.wikimedia.org/wiki/File:Emily_Brontë_by_Patrick_Branwell_Brontë_restored.jpg,"poet, novelist, writer, teacher, governess",poet
"Fulke Greville, 1st Baron Brooke","Military, Politics, and Law",Male,1554,"Alcester, England, United Kingdom",5,Q2373798,1554-10-03,46778759,11516,1628-09-30,Brooke,Lord,,https://commons.wikimedia.org/wiki/File:Fulke_Greville_1st_Baron_Brooke.jpg,"poet, statesperson, playwright, politician",poet
